[06/Jul/2024:15:11:35 +0000] - 200 200 - GET http localhost "/" [Client 172.19.0.1] [Length 322] [Gzip 1.54] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "-"
[06/Jul/2024:15:11:35 +0000] - 200 200 - GET http localhost "/assets/index-g861r6m6.js" [Client 172.19.0.1] [Length 758071] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/"
[06/Jul/2024:15:11:36 +0000] - 200 200 - GET http localhost "/assets/images/fastapi-logo.svg" [Client 172.19.0.1] [Length 6309] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/login"
[06/Jul/2024:15:11:39 +0000] - 200 200 - GET http localhost "/assets/images/favicon.png" [Client 172.19.0.1] [Length 5043] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/login"
[06/Jul/2024:15:11:39 +0000] - 404 404 - GET http localhost "/vite.svg" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/login"
[06/Jul/2024:15:15:47 +0000] - 404 404 - GET http localhost "/api" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "-"
[06/Jul/2024:15:15:50 +0000] - 404 404 - GET http localhost "/favicon.ico" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/api"
[06/Jul/2024:15:16:00 +0000] - 404 404 - GET http localhost "/docs" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "-"
[06/Jul/2024:15:16:22 +0000] - 404 404 - GET http localhost "/settings" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "http://localhost/"
[06/Jul/2024:15:22:23 +0000] - 404 404 - GET http localhost "/api" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "-"
[06/Jul/2024:15:22:43 +0000] - 404 404 - GET http localhost "/api" [Client 172.19.0.1] [Length 188] [Gzip 3.14] [Sent-to frontend] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0" "-"
